,Parking,Swimming Pool,Restaurant,Room Service,Fitness Centre,Spa & Wellness Centre,Business Centre,Facilities for Disabled,Airport Shuttle,Non-smoking Rooms,Babysitting/Child Services,Meeting/Banquet Facilities,Car Rental,Breakfast Buffet,Bar/Lounge,Kids Activities,Game Room,Dry Cleaning,Valet Parking,name,rate,review,Highspeed Internet,Airconditioning,Safe/Vault,Tennis Court,Indoor Pool,Pet-friendly,Casino,Golfcourse,Beach Access,Ski-In Ski-Out
90,,,1.0,,,,,,,,,,,,,,,,,AlMuteb Suites Al mursalat,N/A,N/A,,1.0,,,,,0.0,0.0,0.0,0.0
91,1.0,,,,,,,,,,,,,,,,,,,Amber Hospitality Al Nafel,N/A,N/A,,,,,,,0.0,0.0,0.0,0.0
92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,Jareed Hotel Riyadh,9.0,1443 reviews,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0
93,1.0,,,,,1.0,,,,,,,,,,,,,1.0,Hotel Vivian Park El Raed,N/A,N/A,,,,,,,0.0,0.0,0.0,0.0
94,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,Swiss Spirit Metropolitan Riyadh,7.6,1005 reviews,1.0,,,,,,1.0,0.0,0.0,0.0
95,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,,1.0,,,,,1.0,1.0,Granada Palace Inn,7.7,130 reviews,1.0,1.0,1.0,,1.0,,,0.0,0.0,0.0
96,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,Movenpick Hotel And Residences Riyadh,8.8,14178 reviews,,1.0,,,,,,0.0,0.0,0.0
97,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,1.0,1.0,1.0,Rest Night Hotel Apartment- AlHamra,7.5,2095 reviews,1.0,1.0,1.0,,1.0,,,0.0,0.0,0.0
98,1.0,,,1.0,,1.0,,1.0,,1.0,,,,,,,,1.0,,Burj Alhayah Hotel Suites Olaya,8.2,208 reviews,1.0,1.0,,,,,,0.0,0.0,0.0
99,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,Four Points by Sheraton Riyadh Khaldia,7.3,1245 reviews,1.0,,,1.0,,,,1.0,0.0,0.0
